Institution,BuildingId,Average Number of Residents,Previously infected (%),Vaccine coverage (%),Population immunity (%)
1,-913305970,8,81,88,100
1,-913303842,5,91,96,100
1,-913288370,13,70,78,91
1,-426688450,199,79,81,95
1,-426685378,206,69,90,94
1,-426684866,199,77,88,95
1,-426684610,145,61,79,90
1,-409973026,18,62,96,96
1,-409898690,59,51,70,82
1,-409895874,191,60,79,88
1,-409895362,141,56,78,87
1,-409895106,188,66,81,89
1,-124760354,30,70,80,90
1,-124673986,167,48,86,92
1,-124670914,207,46,86,90
1,-124670402,204,71,88,95
1,-124670146,143,69,87,94
1,-107983138,19,92,62,98
1,-107917250,187,61,83,87
1,-107914178,193,55,84,90
1,-107913666,32,97,76,100
1,-107913410,137,51,79,84
1,-91127746,186,78,82,95
1,-91127490,143,59,79,87
1,-91124674,188,87,92,98
1,-91124162,203,64,86,92
1,-74338242,167,70,78,91
1,-74335170,194,78,93,96
1,-74334658,194,74,81,94
1,-74334402,137,53,79,90
2,-426676978,230,52,77,88
2,-426676962,225,56,68,84
2,-426676946,227,55,77,86
2,-426676738,231,55,76,87
2,-409899746,44,57,70,85
2,-409899730,130,40,67,79
2,-107909874,236,43,79,86
2,-107909858,224,56,79,89
2,-107909842,214,41,75,86
2,-107909634,229,46,79,89
3,-913303842,4,45,98,99
3,-913288370,12,37,90,91
3,-913087122,1,0,100,100
3,-829330130,53,35,80,85
3,-426676978,137,31,80,83
3,-426676962,138,18,84,88
3,-426676946,141,27,79,84
3,-426676754,11,28,74,83
3,-426676738,139,17,87,89
3,-409899762,136,21,87,91
3,-409899746,144,20,86,88
3,-409899730,143,29,87,94
3,-409899538,12,75,83,96
3,-409899522,141,27,87,90
3,-208662898,8,44,99,99
3,-208660770,1,0,100,100
3,-208573154,47,32,63,73
3,-208573138,49,23,65,72
3,-124687090,161,57,86,89
3,-124687074,159,59,86,91
3,-124687058,159,31,84,87
3,-124686866,55,25,56,65
3,-124686850,151,67,88,93
3,-107909874,140,38,87,92
3,-107909858,133,42,81,88
3,-107909842,101,30,73,80
3,-107909650,142,49,88,93
3,-107909634,139,37,83,88
4,-968594130,38,60,84,91
4,-967480018,37,56,91,95
4,-967414482,36,46,82,92
4,-967348946,36,63,84,96
4,-967283410,60,49,80,90
4,-967152338,40,37,82,89
4,-965907154,37,69,78,92
4,-965317330,41,45,88,94
4,-965055186,49,44,87,93
4,-964989650,32,70,87,97
4,-964924114,38,59,80,96
4,-964858578,38,55,88,92
4,-960991954,36,58,88,95
4,-960926418,37,50,85,92
4,-913303842,1,87,96,100
4,-913288370,5,62,73,85
4,-426676946,684,68,76,89
4,-208662898,9,83,89,94
4,-208575826,14,61,65,84
4,-208575810,13,60,66,84
